title,name,component_attachment,property_template,value_template,datatype,value_transformation
Period,period,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/{+period},string,
Geography,geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea,http://statistics.data.gov.uk/id/statistical-geography/{geography},string,
Tenure,tenure,qb:dimension,http://gss-data.org.uk/def/dimension/tenure,http://gss-data.org.uk/def/concept/tenure/{tenure},string,
Value,value,,http://gss-data.org.uk/def/measure/{measure_type},,number,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://gss-data.org.uk/def/measure/{measure_type},string,slugize
Count,count,qb:measure,http://gss-data.org.uk/def/measure/count,,number,
Unit,unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,http://gss-data.org.uk/def/concept/measurement-units/{unit},string,unitize
Vacancy length,vacancy_length,qb:dimension,http://gss-data.org.uk/def/dimension/vacancy-length,http://gss-data.org.uk/def/concept/vacancy-length/{vacancy_length},string,
Availability,availability,qb:dimension,http://gss-data.org.uk/def/dimension/availability,http://gss-data.org.uk/def/concept/availability/{availability},string,
Provider,provider,qb:dimension,http://gss-data.org.uk/def/dimension/provider,http://gss-data.org.uk/def/concept/provider/{provider},string,
Vacancy type,vacancy_type,qb:dimension,http://gss-data.org.uk/def/dimension/vacancy-type,http://gss-data.org.uk/def/concept/vacancy-type/{vacancy_type},string,
Chargeable homes,chargeable_homes,qb:dimension,http://gss-data.org.uk/def/dimension/chargeable-homes,http://gss-data.org.uk/def/concept/chargeable-homes/{chargeable_homes},string,